icliente,clientedesde
TFDBPH,2022-03-29
T59811,2023-03-01
TB6504,2011-02-20
T06888,2000-10-31
T52637,2013-05-31
TFBKGN,2017-06-26
TDC9ZC,2022-09-02
T15331,2006-07-26
T09800,2002-12-05
T61500,2011-05-27
TA2588,2005-05-13
TEZCQM,2013-04-16
TFAIDI,2023-06-12
T74314,2015-09-02
T03436,2006-11-08
TD0133,2013-09-02
TFCLGO,2019-10-29
TFBUG2,2011-11-30
TFEDR7,2025-01-10
T51553,2011-03-22
TFDR64,2023-12-14
TB3043,2012-06-11
TDCFC3,2023-06-22
TDCGVM,2021-11-26
TFDAZV,2022-02-23
TFEDL3,2025-01-07
TDCCAV,2020-07-07
TB4679,2014-03-05
TDCDCF,2021-05-21
TDCGDN,2019-06-14
TFDUTP,2024-07-05
TDCFKR,2023-10-13
TEXKQZ,2012-01-17
TFCSGA,2020-10-26
T10471,2003-06-12
T26845,2003-05-13
TEZPEH,2016-07-12
TFCOH0,2020-02-26
TDCENU,2024-06-27
TB3495,2013-01-10
TFDRCF,2023-12-22
TFDSHY,2024-03-21
TFECVM,2024-11-29
TFEEJX,2025-02-25
TEZOCL,2019-04-11
TFBJYI,2017-05-23
TFDOS2,2023-07-31
TEZMJ3,2015-09-30
TFCLHN,2021-01-06
TA8480,2010-07-30
TFBXL9,2017-08-10
TDCEUK,2020-09-10
TDCG5R,2020-11-26
TDC80N,2022-11-08
TFCWKK,2021-05-31
TCBIRJ,2015-11-26
TB3935,2013-12-20
TDCH93,2023-01-05
TAALX9,2004-10-18
TB6386,2017-05-31
TFDRGJ,2023-12-30
TEZEK7,2010-08-17
TFDUMJ,2024-06-27
TFCVD4,2021-03-25
T35116,2006-12-29
TFCXA8,2021-06-25
TDCFKH,2022-12-30
TDCGEJ,2018-09-12
TA4358,2010-05-24
TFDU41,2024-05-24
TFDU15,2024-05-23
TA3496,2008-08-27
TDC30T,2012-02-28
TFDGNU,2022-11-08
TFBK43,2017-05-30
T75794,2008-12-30
TAAFTN,2010-10-19
T75656,2010-10-21
TFCYY0,2021-09-20
TFDGTN,2022-11-21
TEZETL,2013-10-30
TDCCVP,2022-02-25
TDCFDP,2014-03-24
TFDMIO,2023-04-28
TFEEBE,2025-02-07
TDCEGW,2022-03-30
TEZOOL,2016-05-30
T10019,2001-02-13
T49030,2010-05-03
TDCCTS,2023-06-27
TFDDT7,2022-07-06
TCAUJR,2017-09-11
TDCACL,2023-02-28
TFEBNX,2024-09-30
T04205,1998-12-07
TEYJDV,2012-07-02
TEZEY2,2004-06-11
TB4007,2014-02-05
T06187,2000-04-05
TEF142,2018-09-10
TEYIZV,2012-06-22
TFCVIC,2021-03-31
TFDSNB,2024-03-28
TFCXO7,2021-07-12
TDCF6J,2023-04-17
TFDB61,2022-02-25
TFCPU7,2020-06-05
TFEDUQ,2025-01-23
TFDPWK,2023-09-29
TFBO27,2013-12-19
TDCGJC,2022-11-11
TEZUT6,2016-09-26
T43025,2012-03-08
T43322,2012-08-16
TDCEC3,2018-04-09
T10570,2003-05-14
TEZOMO,2016-04-12
T07589,2001-06-30
TFECRR,2024-11-27
TB0151,1998-01-05
TDCD0M,2018-05-24
TEZDG5,2013-06-28
TDCFBR,2024-05-02
TC8493,2013-12-27
TFCTGX,2020-12-14
TFDGGS,2022-10-27
TDCCLD,2014-11-27
T15403,2006-07-31
TEWERY,2011-06-30
T20520,2011-07-22
TDCG2Y,2023-02-17
T53707,2006-12-07
TEZAUP,2011-07-06
T05034,1999-07-02
TFDA81,2021-12-29
T01695,2004-04-15
TEZAPV,2012-10-22
TDCEF6,2022-05-16
T60481,2010-08-10
TFDNO8,2023-05-31
99069,2017-08-31
TDCD8A,2022-06-09
T47145,2020-11-16
TEZKPL,2015-04-30
TEZIBV,2012-09-28
TCANJJ,2013-05-08
TDC9TS,2022-06-30
TFCJST,2019-08-30
TDCEWY,2022-05-20
TFCXOT,2021-07-19
TCBDCP,2016-09-09
TB1823,2009-10-15
TFDGN4,2022-11-07
TFDUFM,2024-06-10
T54131,2008-06-24
TFCUCP,2021-01-29
T30616,2011-10-19
TFDAP1,2022-01-31
TB5056,2018-10-26
T16639,2007-09-13
TFDDKW,2022-06-28
TDCD1U,2021-10-27
TEXCN4,2011-09-29
TFCCR7,2018-11-27
TFDRQG,2024-01-31
TFDGS7,2022-11-18
T23569,1992-01-31
TFDXZK,2024-09-23
T15648,2006-10-26
T36635,2011-01-28
TEZD14,2013-06-05
TF1264,2016-10-28
TEZMFC,2015-09-18
T76352,2009-04-16
TFALIA,2017-01-13
TFCH98,2019-05-23
TFDRZ3,2024-02-26
T02542,1996-12-13
T28250,2012-09-21
TDC0NZ,2016-06-01
TCA303,2019-02-01
T53733,2006-11-09
T22782,2011-01-28
TFCURJ,2021-02-26
TFBKI1,2017-06-29
T60842,2011-06-30
T01060,2010-06-28
TFCVN8,2021-07-13
TDCDH2,2021-09-02
TFDTOY,2024-04-26
T08810,2002-03-08
TFDS29,2024-02-28
T77119,2010-08-30
TFEDGI,2024-12-27
T25719,1993-09-14
T03067,1997-08-14
TFDO81,2023-06-30
TDCDXY,2017-02-13
TFDUHI,2024-06-19
T42559,2010-02-23
TDCGTA,2021-07-22
TDCFUO,2023-05-06
TEYYP8,2010-11-30
TDCFAL,2018-09-14
T79168,2010-06-04
T51907,2010-10-01
TFECXR,2024-12-02
TFDOWR,2023-08-11
TFDRNZ,2024-01-30
TFDHMB,2022-12-22
TFBYMR,2018-05-04
TDCCOH,2022-09-19
TDCFTN,2022-07-19
TFCMT0,2019-12-18
TFDVM1,2024-08-30
TDCEDM,2017-04-01
TDCEKK,2022-09-05
T03061,2023-12-04
TEZIYN,2014-11-25
T48395,2013-04-25
TFBXYN,2014-03-07
TFBNNV,2020-07-21
TEXNAT,2007-08-23
T84205,2011-05-04
T26323,1994-02-07
TFCRAH,2020-08-17
TDCEJD,2024-07-31
TEWTV8,2011-08-23
TFCIFG,2019-07-10
TA3016,2015-10-21
TFCOJ2,2020-02-28
TFDSQE,2025-02-28
TFDGKE,2022-10-31
TEZIF3,2014-09-18
TFDBSI,2022-03-30
TFDH50,2022-11-30
TDC088,2014-10-01
T23280,1991-11-29
T06661,2010-10-20
T36084,1999-10-28
T12530,1998-12-02
TDC34I,2019-08-01
TFDRI0,2024-01-09
TDCCQT,2024-07-24
TFDGIE,2022-10-28
T16800,2010-11-08
TFBWB0,2018-03-29
TFDJLP,2019-09-25
TDCDN0,2023-06-09
TDCFD1,2020-01-09
TB0598,2013-08-05
TEZMS6,2015-10-26
T17230,2008-02-01
T84428,2013-07-31
TDCFD6,2019-01-17
TEXCLX,2011-09-19
TEZNRD,2017-08-11
TEZIHF,2014-09-29
T53755,2007-05-30
T57422,2009-11-17
TB3034,2012-09-15
TEZD71,2013-06-12
TFDCM7,2022-05-23
TB1479,2008-10-05
T16603,2007-09-24
T20056,1991-07-24
T84886,2009-09-25
T56562,2009-12-15
TFDFG9,2022-09-15
TEXFJG,2011-11-23
TFCUI7,2021-02-09
T02312,1996-08-13
TEZCKV,2013-04-15
T53339,1990-03-01
TDCH7V,2021-05-28
TEZIS9,2014-10-28
TFDMZK,2023-05-09
TFCHT0,2015-02-27
TDCD5P,2020-12-01
TFDDN4,2022-06-30
TFDMWC,2023-05-15
TFDCX5,2022-05-31
T07903,2009-03-31
TDCG65,2022-09-29
TFDGDC,2022-10-21
TDC0AQ,2017-05-01
TFBEAQ,2017-02-16
TFC486,2018-07-31
TFDNAH,2023-05-17
TFDPHI,2023-08-31
TA8057,2010-07-16
TFDQ31,2023-10-11
TFD750,2021-12-10
TFCPN1,2020-05-25
TFDMDS,2023-04-28
TDCFLB,2021-02-04
TEZFK6,2013-12-13
T00018,2002-01-01
TAAJU5,2010-12-15
TDCA9I,2023-01-30
TDCH2O,2019-12-18
TFDS88,2024-02-29
TFDSAF,2024-02-29
TFCQGF,2020-06-30
T00631,1998-12-03
TDC821,2022-04-26
TEZNHC,2015-12-11
TB4649,2019-04-05
TFCAXW,2018-09-26
TCAWPS,2010-01-28
TDC0QC,2019-12-01
TDC01Z,2020-06-01
TEZEYQ,2013-06-01
TFBKE0,2017-06-12
TEZDJH,2018-04-30
TFCGMQ,2019-04-30
TFCANY,2010-12-30
TDCDK3,2024-01-10
TEZHWK,2013-03-28
TFEDAH,2024-12-13
TDC0SI,2014-01-01
TFCUFE,2019-08-30
TDCDBW,2020-05-12
TDCEQG,2022-02-02
TFDCXW,2022-05-31
TFDVIR,2024-08-26
TFBZSE,2021-01-29
TA3529,2014-06-25
T50223,2009-12-22
TEZJM9,2015-01-14
TB4652,2015-07-05
TEVRVQ,2009-08-25
TFCB06,2018-09-28
TEZNRP,2016-02-03
TFCISO,2011-08-31
TFDSMC,2024-03-28
TFDFEY,2022-09-14
TCANCE,2014-04-01
TFDVQI,2024-09-19
TAAFZJ,2010-10-29
TFDCVW,2022-05-31
TFDF54,2022-09-06
TEXMZ7,2012-01-27
TFDE75,2022-07-22
TFBKOS,2013-03-12
TEVZY8,2019-01-14
TDCEMS,2024-05-31
TFECSR,2024-11-27
TFECUH,2024-11-30
T35324,2002-03-06
TFCYK6,2021-08-30
TFDDBG,2022-06-14
T14190,2001-09-28
TEYWC6,2012-09-12
TFBOEI,2016-08-10
TFCXLS,2021-07-15
T15289,2006-06-30
TFCYHE,2021-08-24
TDCDWL,2022-09-28
TFEBS5,2024-10-02
TFECLM,2024-11-14
TFDVE3,2024-08-12
TDC9ZF,2022-12-09
TCAXVZ,2013-12-16
TDCFJ1,2017-06-06
T15169,2009-10-19
TEZDCD,2013-06-19
T37194,2010-11-30
TFDRMH,2024-01-25
TFDGF0,2022-10-25
TFCHLI,2019-06-06
T07784,2005-07-04
TEYYXN,2012-10-02
TFDKJV,2023-04-26
TDC1O0,2025-01-07
TFEDSS,2025-01-17
TDCH77,2020-12-21
TFDQZ5,2023-12-06
TEZHY1,2014-08-20
TDCA1G,2022-07-22
TEYVXR,2012-08-31
TDCGZK,2021-08-11
TA2544,2002-03-25
TFEBSZ,2024-07-12
TAAJWO,2010-12-20
TFDRUA,2024-02-17
TA2895,2013-01-18
TFEEN7,2025-02-27
TFCSYO,2020-11-30
T17526,2009-07-14
TFCDR6,2018-12-21
TFCVOL,2021-05-17
TFCDNG,2018-12-18
TFEBPJ,2024-09-30
TFDEVB,2022-08-29
TB5367,2024-08-30
TFDJLA,2023-04-05
TFCQ13,2018-02-28
TDC0GL,2017-05-01
TEXSKL,2012-03-14
TDC71F,2023-05-08
TFCUN9,2021-02-22
TD2587,2024-04-25
TFEBYR,2024-10-23
TEWBTY,2010-03-23
T09590,1994-06-17
TFBX19,2012-01-27
TDC549,2022-01-09
TFDHR5,2022-12-29
TFEDCX,2024-12-18
TAA687,2009-12-16
TFD845,2021-12-16
T53741,2006-12-08
TDC0NF,2024-11-11
TDCD20,2022-04-08
TFCUYZ,2021-01-27
TDCFZN,2021-10-22
TFDIGN,2023-03-20
TDCH5F,2022-09-27
TFEEYP,2025-03-24
TB1438,2008-09-28
TFCSFE,2020-10-28
TFDRAT,2023-12-19
TFDBQK,2022-03-30
TFCEK7,2019-01-30
TFCVSO,2019-01-15
T60330,2024-11-12
TFDTK3,2024-04-15
TFCVED,2021-03-26
TB2359,2012-06-21
TDCCGU,2021-03-26
TFCAZ9,2018-09-27
TDCDEG,2020-09-28
TDCD47,2022-09-09
TDCH0U,2022-09-30
TEWBJ0,2011-02-25
TFDEHN,2022-08-04
TFCDWF,2019-01-03
TFDTLN,2024-04-19
T33230,2012-02-29
TFDTYY,2024-05-20
TEZKIQ,2015-03-31
TEZNKZ,2016-01-11
T45686,2011-04-29
TEYVPL,2012-08-08
TFCPQ6,2020-05-29
T89690,2009-10-29
T84651,2013-09-19
TFDRSO,2023-05-18
T42748,2006-11-29
T18038,2011-01-14
TFEDZC,2025-01-31
TFDNNW,2023-05-31
TDCDES,2021-12-07
TFCPEZ,2020-04-30
TFBXBW,2018-04-30
TFBN23,2022-05-01
TFED58,2024-12-10
TFCRX4,2020-09-30
TFDBXI,2022-04-07
T04506,2004-11-30
TFDJDY,2023-03-28
TFCTPM,2020-12-29
TFBAOA,2017-02-07
T30580,2010-03-31
TDCD5V,2021-01-21
TFCSWQ,2020-11-27
T57156,2010-07-24
TFBYLO,2005-06-02
TFDOT9,2023-08-01
TFEEMT,2025-02-26
TDC9VM,2023-01-06
TDCCSJ,2022-11-29
TFEDEZ,2024-12-20
TFDUGY,2024-06-17
TFDDCD,2022-06-15
TDCHCY,2024-10-03
TFCINP,2019-07-23
T16898,2012-12-21
TEZCK6,2018-09-27
TFATQU,2017-01-30
TFCNNT,2012-07-19
TB1014,2007-07-05
TFDV53,2024-07-30
TFDTRQ,2024-04-30
TB0738,2008-03-05
TFDNB2,2023-05-18
TFCLM0,2019-10-31
TDC168,2016-03-01
TFDRQD,2024-02-02
T73774,2009-09-04
TDC32H,2012-02-28
T11727,2010-03-30
TC7801,2010-10-13
TFDEL8,2010-02-09
TFCTKP,2020-12-18
TDCH9C,2023-09-01
TFDREE,2023-12-28
TCBDRJ,2016-11-01
TFCTEM,2020-12-09
TFDKKV,2023-04-27
TDCH2L,2022-07-01
TEZBSK,2013-01-25
T11287,2004-03-19
TEVVOI,2013-02-08
T06619,1997-01-08
T12991,2004-12-29
TEZEIQ,2011-08-04
TFDIRI,2023-02-28
TEVVOX,2010-10-01
TFDCGE,2022-04-29
T54276,2008-05-29
TFEBM6,2024-09-27
TB3732,2014-07-25
TFDTVM,2024-05-13
T56447,2012-02-02
T02553,2007-06-25
TFDHQ1,2022-12-28
TFDSP8,2024-04-01
TFCMVY,2019-12-23
TFDSN8,2024-03-28
TFDFYI,2022-10-10
TCACIJ,2013-12-23
TEZKG6,2015-03-23
T35269,2010-05-27
TB3150,2013-07-20
TFC442,2018-07-30
TDCGPF,2021-09-20
T44505,1989-04-04
TDCE2N,2020-10-26
TFDPWH,2023-09-29
TFDNX0,2023-06-22
TFECV2,2024-11-29
TFDDHM,2022-06-24
TEZSPO,2016-06-24
TB1393,2025-02-18
TFDUJK,2024-06-21
TDCAF2,2023-04-28
TDCGGD,2019-06-04
TFBREI,2017-12-14
T41835,2011-01-06
TFDHUD,2023-01-03
TDCGDG,2022-06-20
TFEEYH,2025-03-24
TEZI41,2014-08-29
TFBKJV,2011-11-24
TDCCDI,2020-07-24
TAAHV1,2010-10-29
T13825,2009-05-29
TFBME0,2014-10-31
T15532,2014-04-11
TEZMNA,2015-09-30
TEXYF9,2012-06-06
T74551,2010-11-26
T13485,2005-04-18
TDCF7G,2022-05-19
TFCZ45,2021-09-24
TFDFAG,2022-09-01
TFCVQN,2021-04-23
TB1613,2014-01-23
TEZGCY,2011-10-18
T12230,2004-07-23
T17391,2008-03-18
TFBYS9,2018-05-30
TDCDOB,2023-08-28
T13630,2006-08-29
TFDTKS,2024-04-17
TDC34S,2019-05-20
TDCG45,2022-09-16
TFDOSP,2023-07-31
TFD068,2021-11-10
TC0231,2016-09-13
TFCAW6,2018-09-24
TEZODH,2010-09-10
T01777,2007-06-13
TDCF28,2023-05-16
TDC569,2022-01-01
T01205,2001-12-19
TFBKDD,2012-12-28
TFBX00,2018-04-27
TEZLQS,2014-03-01
TDCDRJ,2024-06-28
TEZFYE,2017-07-31
TFECMM,2024-11-21
TDCA28,2022-12-09
TFDDDI,2017-07-31
TDCFBE,2020-11-03
TFDPC0,2023-08-29
T07651,1992-03-07
TEZUKA,2016-09-10
T46585,2004-08-31
TFDQWW,2023-11-30
TEZKUE,2015-05-20
TB4135,2014-02-15
TDCDXV,2012-07-01
T25483,2012-03-19
T16736,2007-09-12
TB0713,2005-09-05
TFCWMV,2021-05-31
TEXHX8,2009-11-30
TFEDI0,2024-12-30
TA4200,2010-05-10
TFCDJM,2018-12-12
T48771,2011-03-31
TFDCNH,2022-05-19
TB6273,2017-02-05
T32772,1994-09-15
TDCGN0,2024-04-12
TC0975,2014-08-04
TFDURW,2024-07-01
T76425,2008-09-19
TFCWI5,2021-05-26
TFDSQX,2024-04-09
TFDQ70,2023-10-19
TFBKN0,2015-07-15
TEZFK5,2013-12-26
TFCTVA,2023-08-14
TB6670,2020-11-19
T15954,2006-12-29
TFCX53,2021-06-13
T74380,2011-10-21
TDCGYY,2021-08-30
T09624,2003-02-21
TFCTED,2020-12-14
TDCE37,2018-08-22
TEXCST,2011-09-30
TDCE5V,2023-04-19
TFBQU1,2017-11-22
TFDU02,2024-05-23
T59297,2006-10-10
T02076,2007-11-05
T60379,2010-07-07
T53742,2007-01-09
T15145,2006-05-17
TCBLNR,2016-09-05
T17941,2003-09-29
TFDRLZ,2024-03-01
TEW751,2010-08-20
TEZFET,2013-11-29
TB2850,2012-03-05
TFDGO2,2022-11-08
TDCE1L,2021-11-11
T30420,2016-05-20
TFCXNF,2021-07-15
TFCOX6,2020-03-24
TDCA7E,2022-03-17
TDCFGM,2023-04-28
T31424,2010-04-28
TFDHIT,2022-12-19
TFDQL9,2023-11-14
T14622,2006-04-10
TFEBFL,2024-09-25
TFDVKG,2024-08-30
TDCHBG,2024-09-27
T13864,2010-11-03
TFCHSS,2019-06-25
TA2727,2007-04-13
T42060,2002-05-28
TAAM13,2011-01-13
TDCC7B,2021-05-24
T17423,2012-02-29
T52484,2011-06-29
T10145,2004-05-19
TDCC7Q,2023-05-16
TFCCHY,2018-11-22
TFDCYJ,2022-05-31
TFDHDL,2022-12-08
TFCZ08,2021-09-22
TAAOL8,2011-02-24
TDCCMF,2024-01-16
TFCIJO,2019-07-25
T22081,2013-05-13
T53440,2010-08-02
TEZCRK,2018-05-29
T48590,2009-12-23
T09978,2012-10-10
T47828,2011-02-25
T39299,2001-06-21
TFDPFE,2023-08-30
T20602,1990-08-28
TFCVML,2021-01-28
TFDP99,2020-09-14
TEZFM5,2014-05-16
TFCH97,2019-05-23
TFDIVV,2023-06-29
TEZJPD,2015-01-09
TFEDUK,2025-01-22
TFDODT,2023-04-28
TD0010,2013-05-16
T03062,1997-08-20
TFEBF9,2024-09-24
TCAQDH,2016-09-19
TFEDI5,2024-12-30
TEZEBG,2013-09-13
T15393,1992-11-27
TFDVJX,2024-08-29
TFEBQ6,2024-09-30
TFAIMQ,2016-12-30
T16658,2007-09-14
T75442,2007-10-19
TFDAFD,2022-01-14
TFDNNT,2023-05-31
TDCEUZ,2022-11-28
TB3744,2013-08-27
TEZFXH,2014-02-12
TB4332,2014-09-15
TFCV88,2021-03-17
TFDGHO,2022-10-28
TFCRH2,2020-08-31
T84408,2009-01-10
TCAKMJ,2022-07-20
TDCD74,2022-02-24
TFECP4,2024-11-21
TEZEDE,2013-09-26
TFDG01,2022-10-17
T98737,2010-03-31
TFDQTU,2023-11-30
